batu giling 	Batu yang dijadikan tempat menggiling
batu nilam	Permata yang berwarna biru
batu hampar	Batu yang rata
batu hitam	Batu yang berwarna hitam
batu ladung	Timah pemberat tali kail
batung 	Sejenis siput
batuk	Penyakit tenggorokan
batuk kering	Batuk yang berdengking
batuk kokok	Batuk sesak
batik	Kain berbunga 
batil	Pandu atau penimbang jong
batin	Gelaran kampung diantara orang melayu berpangkat
baja	Besi baja
bajang	Hantu anak-anak yang mati pada zaman dahulu
bajak	Alat membalikkan tanah
baju	pakaian
bajau	Tempayan
baji	Perkakas bagi merenggangkan belahan kayu
bajing	Sejenis terendak
baca	Bunyikan perkataan yang tersebut
bacar	Banyak cakap
bacir	Bucar sangat
bacang	Buah daripada jenis mempelam atau kuini
bacuk	Buluh bekas bagi mengisi nira atau air
bacul	Penakut
bacin	Bau yang tiada sedap seperti bau belacan
biadap	Tidak sopan
badang	Sejenis nyiru yang bulat
badak	Sejenis binatang yang tebal kulit nya
badam	Sejenis buah ketapang
badan 	Tubuh anggota
badun	Orang kelakar dalam wayang
badi	Terkena suna
badik	Sejenis pisau senjata yang kecil
bara 	Arang yang bernyala
barat	Sebelah matahari masuk setelah magrib
barat daya	Antara barat tepat dengan selatan
barat laut	Antara barat dengan utara
barang	Benda
barang kali	Boleh jadi
baraka	Barakallah
baran	Hutan paya
barau	Nama sejenis burung
baru-baru	Nama sejenis pokok tepi laut seakan-akan mahang
barut	Pembalut perut
barus	Kapur yang berbau keras
baruk 	Nama satu kaum bangsa orang laut
baruh	Tanah dekat tepi sungai
barah	Penyakit seperti bisul
barai	Sejenis lokan besar matanya
bari-bari	Binatang yang suka terbang dilampu
baring	Rebahan
barik	Berbelang yang berurat atau berbelak-belak
berek	Rumah tempat askar
basal	Sejenis penyakit bengkak atau sembab
basau	Rasa masuk  angin pada kelapa
basuh	cuci dengan air
basah	Kena air
basi	Berubah rasa
basha	Gelaran orang besar
basar	Yang melihat lebih
batin	Yang sulit
batal	Tiada pakai
bangat	Segera
bangar	Sejenis bau tidak sedap
bangau	Sejenis unggas kaki panjang
bangun	Bangkit
bangunan	Rumah 
bangai	Kebiaran
baki	Yang tinggal
baka	Asal keturunan bagi benda yang bernyawa
bakat	Bekas
bakar	Membakar
bakal	Cadangan
bakau	Pohon bakau
bakung 	Sejenis pokok yang berdaun panjang dari tanag dan bunga nya putih
bakup	Bengkak
bakul	Bekas untuk mengangkat barang
bakir	Basi
bakik	Sejenis pokok menjalar dan buah nya dimakan seperti sirih
bagar	Besar
bagan	Pangkalan
bagus	Cantik
bagung	Besar
bagi	Untuk
bilhaq	Dengan benar
balar	Putih kemerah-merahan
balas	Beri balik
baliqh	Sampai umur
balang	Botol besar istimewa
balak	Kayu besar sudah dipotong
billah	Dengan nama Allah
balam	Sejenis Burung
balau	Kayu
balu	Bujang terutama pada perempuan yang telah mati suami
balut	Bungkus
balung	Pial Ayam
baluk	Sejenis perahu
balung	Bantai
baluh	Kulit
baluhan	Rangka tempat duduk
baloi	Sama merasa
balah	Bangkang
balai	Rumah pasung
bali	Nama pulau dekat jawa
balairung	Balai dalam istana
baling	Senget
balik	Pulang
banang	Besar
banir	Pangkal akar 
bawa	Angkat pergi ketempat lain
bawa mulut	Berbicara kesana kesini
bawaan	Keadaan,gaya
baut	Pusing layar
baur	Bercampur gaul
baup	Bukup
bauk	Jambang
bawang	Bawang
bawang benggala	Bawang besar
bawang putih	Bawang berwarna putih
bawang kucai	Bawang yang digunakan daunnya terutama seperti sayur
bawang merah	Bawang berwarna merah
bawal	Ikan bawal
bawah	Lawan atas
bawah angin	Dilindungi oleh sesuatu yang kena angin
bahang	Uap panas
baham	Makan dengan keadaan gelojoh
bahan	Pukul
bahu	Anggota antara leher dengan pangkal lengan
bau	Rasa  
baya	Sebaya
bidara	Sejenis pohon
berbelit	Berbilit
berbual	Bercakap-bercakap kosong
bertih	Padi yang di goreng 
beras	Isi padi
beranak	Bersaling
